dat,temp,count
2020-03-01,32,0
2020-03-02,52,0
2020-03-03,57,0
2020-03-04,48,0
2020-03-05,52,0
2020-03-06,43,0
2020-03-07,45,0
2020-03-08,54,0
2020-03-09,72,0
2020-03-10,66,0
2020-03-11,52,0
2020-03-12,43,0
2020-03-13,61,1
2020-03-14,54,11
2020-03-15,41,5
2020-03-16,45,0
2020-03-17,45,5
2020-03-18,48,5
2020-03-19,43,0
2020-03-20,66,8
2020-03-21,46,7
2020-03-22,32,3
2020-03-23,37,4
2020-03-24,48,4
2020-03-25,43,3
2020-03-26,45,7
2020-03-27,61,16
2020-03-28,46,5
2020-03-29,43,5
2020-03-30,43,4
2020-03-31,39,8
2020-04-01,43,9
2020-04-02,46,2
2020-04-03,45,2
2020-04-04,43,11
2020-04-05,54,10
2020-04-06,61,42
2020-04-07,63,23
2020-04-08,46,6
2020-04-09,48,1
2020-04-10,46,9
2020-04-11,52,16
2020-04-12,61,14
2020-04-13,61,2
2020-04-14,57,4
2020-04-15,52,8
2020-04-16,46,10
2020-04-17,48,5
2020-04-18,39,3
2020-04-19,61,22
2020-04-20,48,5
2020-04-21,54,3
2020-04-22,45,5
2020-04-23,54,5
2020-04-24,45,5
2020-04-25,52,42
dat,temp,count
